Year,Author,Title,african_diasporic,indian,chinese
1882,"Phillips, Edith Caroline","Peeps into China; Or, The Missionary’s Children",FALSE,FALSE,TRUE
1883,"Stables, Gordon",Wild Adventures Round the Pole,TRUE,FALSE,FALSE
1887,"Russell, William Clark",The Frozen Pirate,TRUE,FALSE,FALSE
1888,"Ballantyne, Robert Michael",The Middy and the Moors: An Algerine Story,TRUE,FALSE,FALSE
1889,"Henty, George Alfred",Tales of Daring and Danger,FALSE,TRUE,TRUE
1889,"Hutcheson, John C.",The Black Man’s Ghost,TRUE,FALSE,FALSE
1890,"Doyle, Arthur Conan",The Captain of The Polestar and Other Tales,TRUE,FALSE,FALSE
1890,"Hutcheson, John C.",Afloat at Last: A Sailor Boy’s Log of His Life at Sea,FALSE,FALSE,TRUE
1891,"Russell, William Clark",My Danish Sweetheart. A Novel.,FALSE,TRUE,FALSE
1893,"Fenn, George Manville","Blue Jackets, Or, The Log of the Teaser",FALSE,FALSE,TRUE
1897,"Giles, Elise Williamina Edersheim ",China Coast Tales,FALSE,FALSE,TRUE
1897,"Levett-Yeats, Sidney Kilner","A Galahad of the Creeks, and Other Stories",FALSE,TRUE,TRUE
1897,"Meade, Elizabeth Thomasina Smith",Under the Dragon Throne,FALSE,FALSE,TRUE
1898,"Collingwood, Harry",A Pirate of the Caribbees,TRUE,FALSE,FALSE
1898,"Frith, Henry",In the Yellow Sea: A Tale of the Japanese War,FALSE,FALSE,TRUE
1898,"Hume, Fergus",For the Defense,TRUE,FALSE,FALSE
1898,"Shiel, Matthew Phipps",The Yellow Danger,FALSE,FALSE,TRUE
1899,"Bayly, A. Eric",The House of Strange Secrets,FALSE,FALSE,TRUE
1899,"Hyne, Charles John Cutcliffe Wright",Further Adventures of Captain Kettle,TRUE,FALSE,FALSE
1899,"Jones, Henry Arthur",Carnac Sahib: An Original Play in Four Acts,FALSE,TRUE,FALSE
1900,"Donovan, Dick","The Adventures of Tyler Tatlock, Private Detective",TRUE,FALSE,TRUE
1900,"Doyle, Charles William",The Shadow of Quong Lung,FALSE,FALSE,TRUE
1900,"Hemyng, Bracebridge",Jack Harkaway’s Boy Tinker among the Turks,TRUE,FALSE,FALSE
1900,"Jerome, Jerome K.",Three Men on the Bummel,TRUE,FALSE,FALSE
1901,"Kipling, Rudyard",Kim,FALSE,TRUE,FALSE
1902,"Croker, Bithia M.",The Cat’s Paw,FALSE,TRUE,FALSE
1902,"Little, Alicia Bewicke",Out in China!,FALSE,FALSE,TRUE
1904,"Nesbit, Edith",New Treasure Seekers,FALSE,FALSE,TRUE
1905,"Penny, Fanny Emily Farr",Dilys; An Indian Romance,FALSE,TRUE,FALSE
1906,"Moore, Henry Charles",Afloat on the Dogger Bank; A Story of Adventure in the North Sea and in China,FALSE,FALSE,TRUE
1908,"Harraden, Beatrice",Interplay,FALSE,FALSE,TRUE
1912,"Brereton, Frederick Sadleir",The Hero of Panama: A Tale of the Great Canal,TRUE,FALSE,TRUE
1912,"Brereton, Frederick Sadleir",Under the Chinese Dragon: A Tale of Mongolia,FALSE,FALSE,TRUE
1912,"Rae, Milne",A Bottle in the Smoke: A Tale of Anglo-Indian Life,FALSE,TRUE,FALSE
1912,"Strang, Herbert",The Flying Boat: A Story of Adventure and Misadventure,FALSE,FALSE,TRUE
1912,"Vachell, Horace Annesley",Bunch Grass: A Chronicle of Life on a Cattle Ranch,FALSE,FALSE,TRUE
1913,"Rohmer, Sax",The Mystery of Dr. Fu Manchu,FALSE,FALSE,TRUE
1915,"Collingwood, Harry",A Chinese Command: A Story of Adventure in Eastern Seas,FALSE,FALSE,TRUE
1915,"Conrad, Joseph","Victory, An Island Tale",FALSE,FALSE,TRUE
1915,"Foskett, Samuel",The Temple in the Tope,FALSE,TRUE,FALSE
1915,"Oppenheim, Edward Phillips",The Black Box,FALSE,FALSE,TRUE
1915,"Tracy, Louis",Number Seventeen,FALSE,FALSE,TRUE
1916,"Burke, Thomas",Limehouse Nights,FALSE,FALSE,TRUE
1916,"Dorling, Henry Taprell",Stand By! Naval Sketches and Stories,FALSE,FALSE,TRUE
1916,"Wallace, Edgar",The Tomb of Ts’in,FALSE,FALSE,TRUE
1917,"Le Queux, William",The Secrets of Potsdam,FALSE,FALSE,TRUE
1919,"Dell, Ethel May",The Lamp in the Desert,FALSE,TRUE,FALSE
1919,"Rohmer, Sax",Dope: A Story of Chinatown and the Drug Traffic,FALSE,FALSE,TRUE
1920,"Wren, Percival Christopher","Cupid in Africa, Or, The Making of Bertram in Love and War",TRUE,TRUE,FALSE
1922,"Maugham, W. Somerset",East of Suez: A Play in Seven Scenes,FALSE,FALSE,TRUE
1922,"Middleton, Lydia Miller",The Happy Adventurers,FALSE,FALSE,TRUE
1922,"Westerman, Percy F.",The Wireless Officer,FALSE,TRUE,FALSE
1924,"Galsworthy, John","The Forest, A Drama in Four Acts",TRUE,FALSE,FALSE
1926,"Mundy, Talbot",The Devil’s Guard,FALSE,TRUE,FALSE
1929,"Burroughs, Edgar Rice",The Monster Men,FALSE,FALSE,TRUE
